admit,...を肯定する
associate A with B,AからBを連想する
be about to do,(間もなく)...するところである
be concerned with,...に関心がある
be confident about,...できると確信している
behind the scenes,裏で、ひそかに
bureaucrat,官僚
career,経歴、職業
commit,...(犯罪・過失)を犯す
confidence,自信、確信
confidential,内密の、機密の
conservative,保守的な
contradict,...と矛盾する、...(人)の意見を否定する
dare to do,(否定文で)思い切って...する
deny,...を否定する
deny doing,...したことはないと言う
dignity,尊厳、気高さ
diminish,弱める、小さくする
dominant,支配的な
employer,雇用主
enhance,...(質、価値など)を高める
entertain,...をもてなす、接待する、楽しませる
exclusive,排他的な、高級な、独占的な
executive,役員、取締役
exert,...(権力など)を行使する
exploit,...(人など)から搾取する
fate,運命
fire,...を解雇する、発砲する
flatly,きっぱりと
for fear of,...を恐れて
hypocrisy,偽善
in return for,お返しとして、見返りとして
influence,影響(力)
investigation,調査
kill oneself,自殺する
leak,...(情報など)をもらす
living costs,生活費
living standard,生活水準
make a comment,コメントする、見解を述べる
might as well do A as do B,BするくらいならAするほうがましだ
party,党、政党
poison,毒
politician,政治家
primarily,第一に、何よりもまず
promising,前途有望な
pull string,糸を引く、操る
reconcile,...を和解させる、調和させる
reconcile oneself to,...を仕方なく受け入れる
refuse,(きっぱりと)断る
retain,...を維持する
sacrifice,...を犠牲にする、犠牲
scene,景色、現場
secretary,秘書
spokesperson,報道担当者
string,紐、弦楽器
suicide,自殺
swallow,...(食べ物などを)飲みこむ
tend to do,...する傾向がある
think better of,(考え直して)...しないことにする
under investigation,調査中の
