advertisement,広告
as a result of,の結果
assemble,を組み立てる
be aim it,…を狙いとしている
be away,いない
be in danger of,危険な状態にある
branch,支店
come into being,誕生する
commerce,商業
compare to,と比べると
corporation,大企業
drop a line,に手紙を書く
efficient,能率的な
enterprise,企業
factory,工場
gigantic,巨大な
give birth to,を出産する
go bankrupt,倒産する
in terms of,の点では
in those days,当時は
internal,国内の
labor,労働
look up,上向く
machinery,機械類
make a profit,儲ける、利益になる
manual,手を使う、肉体的な
monopoly,独占
obviously,明らかに
on business,仕事で
overseas,海外の
per,…あたり
previous,前の、前回の
remove,を取り除く
replace,に取って代わる
restriction,制限
ridiculous,ばかげた
teenager,10代の若者
transfer to,をＢに転任する
under construction,建設中の
unit,（構成）単位、ユニット
venture,事業
virtual,事実上の
with,ＡがＢなので
