A is worth doing,A はdoingするだけの価値がある（動）
You must be kidding,冗談でしょう（定）
anything goes,何でも受け入れる、何でもあり、こだわりがない（定）
apologize to Lisa,Lisaに謝罪する（動）
as far as A is concerned,A に関しては（副）
as far as ～,～まで、～の限りでは（定）
as soon as possible,できるだけ{すぐ]に（副）
awkward,気まずい、ぎこちない（形）
be asleep,眠っている（動）
be in a good mood,機嫌がいい（動）
be inclined to do,doする傾向がある（動）
be open to A,（批判など）Aを受け入れやすい（動）
be worth A,Aの価値がある（動）
between you and me,ここだけの話だけど（副）
both,双方の、両者の(形)
by contrast,それとは対照的に（副）
calm...down,落ち着く（動）
cautious,用心深い、慎重な（形）
come across Nick,Nickを偶然見つける（動）
come over,そこに行く（動）
comfort Monica,Monicaを慰める（動）
contrast,対比（名）
creep,静かに[忍び足で]歩く（動）
discuss A,Aについて話し合う（動）
divorce him,彼と離婚する（動）
drag her,彼女を無理に引っ張って進む（動）
embrace A,Aを強く抱きしめる（動）
exaggerate,大げさに表現する（動）
get along with Nick,Nickとうまくやっていく（動）
go too far,度を越す（動）
in tears,泣きながら（副）
interest,興味、関心（名）
interpret,解釈する（他動）、通訳する（自動）
interpret A as B,A をBの意味に解釈する（動）
literally,文字通り（副）
make fun of her,彼女をばかにする（動）
make sure that A,Aを確かめる（動）
misunderstanding,誤解（名）
not...any more,もうこれ以上…しない（副）
of importance to A,Aにとって重要な（形）
once in a while,時々（副）
passionately,情熱的に（副）
pause,（話などの）間(ま)（名）
pay attention to A,Aに注意を払う（動）
remark,発言（名）
romantic,恋愛の…（形）
seem A,Aのように思える（動）
set off,（旅行などに）出発する（動）
sometime,そのうち（副）
sound,（眠りが）深く（副）
spare A,(時間)Aを割く、Aを分け与える（動）
stand A,Aに我慢する（動）
take her by the hand,彼女の手[腕]を取る（動）
tear,破く、破ける、引きはがす（動）
tear...up,Aを(ずたずたに)引き裂く（動）
think of doing,doingしようかと考える（動）
throw...away,捨てる（動）
trivial,些細な（形）
upstairs,上の階[二階]へ[に、で]（副）
