Mars,火星
a series of,一連の
affect,...に影響を及ぼす、...の心を動かす
affection,愛情
applause,拍手、賞賛
assume,(確証はないが)～だと考える、...(責任・役割など)を持ち始める[引き受ける]
astronaut,宇宙飛行士
astronomer,天文学者
be busy doing,忙しく...している、...するのに忙しい
be on the verge of,...の寸前である、今にも...しそうだ
call on A to do,Aに...(援助など)するよう求める
carbon dioxide,二酸化炭素
cause A damage to,...にA(程度)の損害を与える(2)
committee,委員会
conduct,...(調査など)を実施する、...(組織・楽団など)を指揮する
conductor,(旅行などの)案内係、(楽団の)指揮者、(電気・熱の)伝導体
conservation,保存、保護
conserve,...(資源など)を保護する
contend,～だと力説する
cruel,残酷な
curb,...を抑制すｒ
damage to,...に与える損害[被害]、損傷
directly,(関係が)直接に
disappear,消える、見えなくなる
divide,...を分ける、分かれる、...を分け合う
divide A into B,AをBに分ける
do A damage to,...にA(程度)の損害を与える(1)
drought,干ばつ、日照り
due date,支払期日
due to,...が原因で、...が理由で
emission,(ガス・熱などの)排出、放出
endangered,(動物などが)絶滅の危機に瀕した
equator,(the -)赤道
exist,実在する、存在する
expand,膨張する、(活動範囲などが)広がる
experiment,(科学的な)実験、試験
extinction,(生物などの)絶滅
flood,洪水
fragile,(ものが)壊れやすい、(精神的・肉体的に)弱い
fund,基金、(-s)手持ちの資金
glacier,氷河
global warming,地球温暖化
globe,(the -)地球
gravity,重力、(問題などの)重大さ
greet,...に挨拶する、...を迎える
hemisphere,半球(体)
in part,一部は、いくらか
infinitely,無限に
it is said that,～だと言われている、～だそうだ
launch,...(ロケットなど)を発射する、...(新しいこと)を始める
layer,層、地層
life,(集合的に)生物、一生、実物
lifespan,寿命
local,現地の...、地元の...
massive,極めて大きい
melt,(氷などが)溶ける、...を溶かす
monitor,...(の動向[反応])を(常に)監視する
network,...網、放送網
on a ... scale,...の規模で
orbit,(惑星などの)軌道
organization,団体、組織
outer,外側の
outer space,(大気圏外の)宇宙(空間)
paralyze,...を麻痺させる
play a ... role in A,Aで...な役割を果たす
prepare for,...のための準備をする
preserve,...を(現状のまま)保存[保護]する
primitive,原始の、原子的な
principal,最も重要な...、主要な...
prolonged,長引く、長期間続く
relate A to B,AをBに関連づける
relate A with B,AをBと関連づける
role,役割、役目(part)
role model,(見習うべき)模範、お手本
scale,段階、尺度、規模、体重計
set ... up,...(委員会・組織など)を設立する
severe,(被害などが)ひどい、激しい
side by side,(人が)並んで、協力し合って
spacious,(場所・部屋などが)広々とした
species,(生物の)種
spontaneous,(行動・感情などが)自然に生じる
transportation,交通[輸送]機関、輸送、移動
trap,...を(動物)を罠で捕らえる、...を閉じ込める
tropical,熱帯の、熱帯地方の
tropical rain forest,熱帯雨林
universe,(the -)宇宙
voyage,航海、宇宙旅行
wildlife,(集合的に)野生動物
with a view to doing,(将来)...するつもりで、...を期待して
