A rather than B,BよりむしろAだ
Come on,(軽い抗議の気持ちを表す)おいおい
Do you mind if I A,Aしても気分悪くないですか？
I mean it,本気で言ってるんだよ
I'll be right back,（ここに）すぐに戻ってくるよ
Not at all,いや全然
admit A,Aを認める
back and forth,行ったり来たり
be my guest,遠慮しないで
be on good terms with A,Aと親しい間柄である
be through,(人間関係などが)終わる
betray,裏切る
can't help,仕方がない
cheer up,元気を出す
collar,襟
conceal A,Aを隠す
confess,(罪を)告白する
dad,お父さん
do one's best,最善を尽くす
drop in,ふらっと立ち寄る
dwell on A,Aをくよくよ考える
emotional,(人が)感情的な
end up A,Aする結果になる
every now and then,たまに、時々
for good,永遠に
for one thing,（その理由の）ひとつには
forgive,許してあげる
from time to time,時々
generally,普通は、普段は
get even,(…人)に)仕返しする
give out,（能力などが）尽きる
grab A,Aを(勢いよく)掴む
hang up,（電話を）切る
hold B back,(真実、感情など）Bを隠す
hold on,（ちょっと）待ってて
honesty,誠実、正直
hurt A,Aの心を傷つける
in the long run,(長い目で見れば)最後には
keep one's word,約束を守る
look A in the eye,Aの目をまっすぐ見る
lose face,評判を落とす
make it up to,埋め合わせをする
make up,仲直りする
mean to A,Aするつもりである
moral,道徳的な
occurs to A,Aがふと浮かぶ
otherwise,そうしなければ
pace,（落ち着きなく））歩く
past,過去
patience,忍耐力
pay off,(努力などが)報われる
principle,主義、信条
put...up,...を泊める
quarrel,口げんかする
sidewalk,歩道
sin,(宗教上の)罪、過ち
stand still,じっと立つ
start over,一からやり直す
stick to A,Aを(あくまでも)守る
stop by A,Aに立ち寄る
swear at A,Aをののしる
take A for granted,Aを当然のことと思う
talk...over,...についてよく話し合う
